placename,sentence,model
Achadh Mhór,Cónaíonn daoine áitiúla in Achadh Mhór le blianta fada.,claude-3-haiku-20240307
Achadh na gColpach,Rachaidh mé ag spaisteoireacht timpeall Achadh na gColpach le mo chlann.,claude-3-haiku-20240307
Achadh Locha Chon,Tá an chuid is mó de na cónaitheoirí in Achadh Locha Chon ina gcónaí san áit seo ar feadh na mblianta.,claude-3-haiku-20240307
An Eachlainn,Cuirfear feachtas athchúrsála ar bun in An Eachlainn le linn na bliana seo.,claude-3-haiku-20240307
Achadh na hUamha,Beidh imeachtaí cultúrtha ar siúl in Achadh na hUamha an samhradh seo.,claude-3-haiku-20240307
Achadh Thoir,Tá feirm beag talmhaíochta ag teaghlach amháin in Achadh Thoir.,claude-3-haiku-20240307
Achadh na Croise,Rachaidh mé go hAchadh na Croise an Domhnach seo chugainn.,claude-3-haiku-20240307
Achadh Thiar,Oireann an t-aimsir go breá do chónaitheoirí Achadh Thiar.,claude-3-haiku-20240307
Achadh na hÁithe,Bíonn margaí móra ar siúl i Achadh na hÁithe gach Satharn.,claude-3-haiku-20240307
Achadh na hUinseann,Oireann timpeallacht nádúrtha Achadh na hUinseann go maith do thóraíocht fhiadhúlra.,claude-3-haiku-20240307
Allt an Bhrá,Rachaidh mé go dtí Allt an Bhrá le mo chairde an deireadh seachtaine seo.,claude-3-haiku-20240307
Allt an Chaorthainn,Tá an pobail ag pleanáil ceiliúradh speisialta in Allt an Chaorthainn an mhí seo chugainn.,claude-3-haiku-20240307
Achadh na Móna,Beidh taispeántas ealaíne ar siúl in Achadh na Móna an mhí seo.,claude-3-haiku-20240307
Allt Uí Chuinn,Rachaidh mé chun siúil ag Allt Uí Chuinn i rith an tsamhraidh.,claude-3-haiku-20240307
Achadh Abhla,Beidh léachtaí ar stair Achadh Abhla ar siúl san ionad cultúrtha an mhí seo.,claude-3-haiku-20240307
Acraí an Ailltín,Cuireann na turasóirí a gcuid ama saor in aisce ag Acraí an Ailltín.,claude-3-haiku-20240307
Amorset,Tá cluichí spóirt á n-eagrú go rialta i bPáirc Amorset.,claude-3-haiku-20240307
Eanach Duibh,Tá pobal gníomhach agus dearfach i bpobal Eanach Duibh.,claude-3-haiku-20240307
Achadh,Bíonn margadh faoi dheireadh seachtaine ar siúl in Achadh gach Satharn.,claude-3-haiku-20240307
An tAilltín,Tá cúrsa nua Gaeilge ar fáil in An tAilltín i rith an tsamhraidh.,claude-3-haiku-20240307
Gléib Eanach Duibh,Tógfar tionóntaí nua i nGléib Eanach Duibh an bhliain seo chugainn.,claude-3-haiku-20240307
An tEanach,Bíonn cuairteoirí ag teacht go hAn tEanach le linn na Nollag chun na margaí Nollag a fheiceáil.,claude-3-haiku-20240307
An tEanach Íochtarach,Tá áiseanna spóirt iontacha ar fáil in An tEanach Íochtarach.,claude-3-haiku-20240307
Eanach Bradacáin,Bainfidh siad taitneamh as éiceachóras na hEanaigh Bradacáin.,claude-3-haiku-20240307
An tEanach Dearg Uachtarach,Bíonn gach duine ag teilgean clocha go hÁlainn in An tEanach Dearg Uachtarach ar Lá Fhéile Pádraig.,claude-3-haiku-20240307
An tEanach Dearg,Tá sé beartaithe oibreacha móra feabhsúcháin a dhéanamh ar An tEanach Dearg an bhliain seo chugainn.,claude-3-haiku-20240307
An tEanach Uachtarach,Rachaidh mé ag iascaireacht in An tEanach Uachtarach an deireadh seachtaine seo.,claude-3-haiku-20240307
An tEanach Dearg Íochtarach,Glantar tírdhreach An tEanaigh Deirg Íochtaraigh go rialta.,claude-3-haiku-20240307
Eanach Iarlaithe,Rachaidh na scoláirí ar turas go hEanach Iarlaithe an bhliain seo chugainn.,claude-3-haiku-20240307
Eanach Mhic Coilín,Chuaigh mé go dtí Eanach Mhic Coilín le mo chairde le déanaí.,claude-3-haiku-20240307
Eanach an Chonnaidh,Caitheann muintir Eanach an Chonnaidh a gcuid ama sa trá le linn an tsamhraidh.,claude-3-haiku-20240307
Eanach Mór,Bíonn an chlub peile ag traenáil go crua in Eanach Mór roimh na cluichí móra.,claude-3-haiku-20240307
An tEanach Buí,Bíonn ceol traidisiúnta ag seinm in An tEanach Buí gach oíche.,claude-3-haiku-20240307
Eanach na Madadh,Bhíodh cónaitheoirí áitiúla ag picnicireacht in Eanach na Madadh ar laethanta saoire.,claude-3-haiku-20240307
Eanach Caointe,Tógtar earraí láimhe álainn in Eanach Caointe ag an margadh míosúil.,claude-3-haiku-20240307
Eanach Mhic Conbhuí,Tá daoine ag fanacht i dtithe saoire i nGeata Eanach Mhic Conbhuí le roinnt blianta anuas.,claude-3-haiku-20240307
Anscairt,Tá turas ceardlainne ar siúl in Anscairt gach mí.,claude-3-haiku-20240307
Mothar na Seangán,Cuireann na turasóirí spéis mhór i stair Mothar na Seangán nuair a thugann siad cuairt ann.,claude-3-haiku-20240307
Ardach Mhic Giolla Bhroide,Oireann an timpeallacht nádúrtha go hiontach d'Ardach Mhic Giolla Bhroide.,claude-3-haiku-20240307
Ard an Chip Mór,Bíonn ceolchoirmeacha ar siúl i gCaisleán Aircín gach samhradh.,claude-3-haiku-20240307
Ardach Mhic Shírín,Tá an baile álainn seo in Ardach Mhic Shírín suite in iardheisceart na tíre.,claude-3-haiku-20240307
Ardach,Tógtar saoráidí spóirt nua in Ardach gach bliain.,claude-3-haiku-20240307
Eanach Sailchearnaí,Tá dath na n-éan dathúil in Eanach Sailchearnaí.,claude-3-haiku-20240307
Eanach Ghiorria,Tá saothar áitiúil ealaíne le feiceáil i nGailearaí Eanach Ghiorria le roinnt seachtainí anuas.,claude-3-haiku-20240307
Ard an Chip Beag,Beidh féile fhairsing ar siúl in Ard an Chip Beag an samhradh seo.,claude-3-haiku-20240307
Ard-doire,Tá margadh beag sráide in Ard-doire gach Satharn.,claude-3-haiku-20240307
Ard Maonáin,Rachaidh mé ag siúl sa chnoic álainn in Ard Maonáin amárach.,claude-3-haiku-20240307
Ard Cholaim,Fógróidh an Chomhairle pleananna nua forbartha i nArd Cholaim sa chéad chruinniú eile.,claude-3-haiku-20240307
Ard Luachra,Ceiliúrtar oidhreacht chultúrtha in Ard Luachra gach Lá Fhéile Pádraig.,claude-3-haiku-20240307
Ard Móinín,Maireann daoine áitiúla in Ard Móinín go sona sásta.,claude-3-haiku-20240307
Ard-droim,Ní bheadh aon chúis leis an tionscadal nua seo a thógáil in Ard-droim.,claude-3-haiku-20240307
Ard Uinseachán,Rachaidh mé go hArd Uinseachán an samhradh seo chugainn.,claude-3-haiku-20240307
Áth Rodaí,Seolfaidh an club áitiúil camógaíochta a gcuid cluichí i nÁth Rodaí an séasúr seo.,claude-3-haiku-20240307
Ardbhearnaigh,Oireann an t-atmaisféar ciúin in Ardbhearnaigh do chaitheamh aimsire.,claude-3-haiku-20240307
Áit Tí Fionnalaigh,Tugann siad cuairteanna rialta ar Áit Tí Fionnalaigh le haghaidh na gcóisirí.,claude-3-haiku-20240307
An Ascaill,Cuireann muintir An Ascaill fáilte mhór roimh na cuairteoirí gach samhradh.,claude-3-haiku-20240307
Áit Tí Ruairí,Tá tionscadal nua tógála ag tosnú in Áit Tí Ruairí an mhí seo.,claude-3-haiku-20240307
Eachromainn,Bíonn na scoláirí ag foghlaim faoi stair Eachromainn sna ranganna.,claude-3-haiku-20240307
Áit Tí Mánais,Bíonn ceiliúradh mór ar siúl ag Áit Tí Mánais i rith na Nollag gach bliain.,claude-3-haiku-20240307
Eachaire,Cónaíonn an-chuid daoine in Eachaire i rith na bliana.,claude-3-haiku-20240307
Eachroim,Bíonn na turasóirí ag Eachroim chun an chathair stairiúil a fheiceáil.,claude-3-haiku-20240307
Eachromainn Theas,Cuireann muintir Eachromainn Theas tairiscintí ar fáil do thurais eachtraíochta gach Samhradh.,claude-3-haiku-20240307
Áradh,Bíonn rásaí capaill ar siúl in Áradh gach samhradh.,claude-3-haiku-20240307
An Baile Mór,Tá an-tóir ar thairgí áitiúla in An Baile Mór.,claude-3-haiku-20240307
Baile na Cloiche,Ceanglaítear an pobal i mBaile na Cloiche le himeachtaí cultúrtha.,claude-3-haiku-20240307
Bealach na Beithe,Tá an scoil ag eagrú turais go Bealach na Beithe le linn na bliana.,claude-3-haiku-20240307
An Baile Glas,Tá an Baile Glas an-álainn ag an am seo den bhliain.,claude-3-haiku-20240307
Baile na Móna,Déanann na comharsana grúpa comhpháirtíochta i mBaile na Móna.,claude-3-haiku-20240307
Baile na Míoltóg,Rachaidh mé ag siúl timpeall Bhaile na Míoltóg ar an Domhnach.,claude-3-haiku-20240307
Baile na Moinge,Maireann daoine an-shona i mBaile na Moinge.,claude-3-haiku-20240307
Beannchar,Bíonn banna ceoil áitiúil ag seinm i mBeannchar gach deireadh seachtaine.,claude-3-haiku-20240307
Barr Gabhla,Beidh Barr Gabhla dathaithe go hálainn don bhliain nua.,claude-3-haiku-20240307
Baile na bPoll,Fáiltíonn na cónaitheoirí i mBaile na bPoll roimh na cuairteoirí gach samhradh.,claude-3-haiku-20240307
Béal an Átha Móir,Caithfidh mé dul go Béal an Átha Móir an deireadh seachtaine seo.,claude-3-haiku-20240307
Barr na Ladhar,Bíonn daoine ag siúl ar shléibhte Barr na Ladhar ar feadh na bliana.,claude-3-haiku-20240307
Barr an Chaisleáin,Rachaidh mé ag spaisteoireacht ar Bharr an Chaisleáin amárach.,claude-3-haiku-20240307
Barr na Mianach,Bíonn dathanna breá le feiceáil ar Bharr na Mianach i rith an fhómhair.,claude-3-haiku-20240307
An Bhearach Mhór,Táimid ag dul go dtí An Bhearach Mhór le haghaidh laethanta saoire.,claude-3-haiku-20240307
An Bhearach Bheag,Déanfar athchóiriú ar an séipéal i dteach An Bhearach Bheag an bhliain seo chugainn.,claude-3-haiku-20240307
Barr an tSeanchurraigh,Bíonn bláthanna áille ag fás ar Bharr an tSeanchurraigh i rith an tsamhraidh.,claude-3-haiku-20240307
Páirc na Beairice,Eagraíonn pobal Pháirc na Beairice ceolchoirmeacha traidisiúnta gach Samhain.,claude-3-haiku-20240307
Barr Fharaidh,Tógann na turasóirí grianghraif den dreach álainn i mBarr Fharaidh.,claude-3-haiku-20240307
An Bábhún,Cuirfear taispeántas ealaíne ar siúl in An Bábhún an mhí seo chugainn.,claude-3-haiku-20240307
An Bheitheach Mhór,Raghaidh mé go dtí An Bheitheach Mhór ag an deireadh seachtaine chun an damhsa traidisiúnta a fheiceáil.,claude-3-haiku-20240307
Na Barraí Thoir,Beidh feachtas oideachais ar siúl ar fud Na Barraí Thoir chun an Ghaeilge a chur chun cinn.,claude-3-haiku-20240307
Béal Haibhil,Féachann siad ar na seandaoine ag seinm ceoil i mBéal Haibhil.,claude-3-haiku-20240307
An Bheitheach Bheag,Déanann muintir An Bheitheach Bheag ceol agus rince ag féilte an cheantair.,claude-3-haiku-20240307
Béal Átha Choillte Feá,Bíonn daoine ag siúl timpeall Bhéal Átha Choillte Feá gach lá.,claude-3-haiku-20240307
Béal Átha Gairt,Tá sé beartaithe cóiriú mór a dhéanamh ar Bhéal Átha Gairt an bhliain seo chugainn.,claude-3-haiku-20240307
Bóithigh,Beidh ceolchoirm speisialta ar siúl i mBóithigh an samhradh seo.,claude-3-haiku-20240307
Barr na Mianach Thiar,Sáraíonn na meáin chlóite scéalta suimiúla as Barr na Mianach Thiar go minic.,claude-3-haiku-20240307
Oileán na bhFraochóg,Déanann turasóirí cuairt rialta ar Oileán na bhFraochóg le blianta.,claude-3-haiku-20240307
Na Barraí Thiar,Caitheann na turasóirí a gcuid ama ag spaisteoireacht i measc na mBarrraí Thiar.,claude-3-haiku-20240307
Béal an Átha Buí,Chuaigh mé go Béal an Átha Buí le déanaí chun an fhéile bhliantúil a fheiceáil.,claude-3-haiku-20240307
Béal Átha Gaothaire,Caithfidh mé dul go Béal Átha Gaothaire an deireadh seachtaine seo.,claude-3-haiku-20240307
An Sliabh Dubh,Caitheann na hiomaitheoirí go leor ama ag traenáil ar An Sliabh Dubh.,claude-3-haiku-20240307
Na Garraithe Dubha,Tá mórfhéile cheoil á reáchtáil ag pobal Na Garraithe Dubha gach Lá Fhéile Pádraig.,claude-3-haiku-20240307
An Bhoth Íseal,Cuireann an scoil in An Bhoth Íseal oideachas den scoth ar fáil dá mic léinn.,claude-3-haiku-20240307
Bóithigh,Tá siopaí áille nua ag oscailt ar Bhóithigh.,claude-3-haiku-20240307
Bléan Choilleadh,Bíonn margadh sráide ag rith ar fud Bléan Choilleadh gach Satharn.,claude-3-haiku-20240307
An Bhuaile Bhán,Tógtar eastáit nua i gceantair álainn An Bhuaile Bhán.,claude-3-haiku-20240307
An Dúcharraig,Tá tóir mhór ar na táirgí áitiúla a dhíoltar i margadh Oirthear an Dúcharraig.,claude-3-haiku-20240307
An Bogán,Beidh taispeántais ealaíne á reáchtáil in An Bogán an tsamhraidh seo.,claude-3-haiku-20240307
An Bhuaile Bhuí,Bíonn margaí traidisiúnta ar siúl in An Bhuaile Bhuí gach Satharn.,claude-3-haiku-20240307
Both Néill,Chuaigh mé go Both Néill le déanaí chun freastal ar an cheardlann cheardaíochta.,claude-3-haiku-20240307
Buaile Mhig Uidhir,Rachaidh mé go Buaile Mhig Uidhir an samhradh seo chugainn.,claude-3-haiku-20240307
Breacaire Beag,Tá sí ag foghlaim na teanga Gaeilge i mBreacaire Beag le blianta anuas.,claude-3-haiku-20240307
An Bhuaile Bhreac,Bhailíonn an pobal le chéile ar lá fhéile Chrom Dubh in An Bhuaile Bhreac.,claude-3-haiku-20240307
Bréandroim,Déanann na scoláirí taighde ar stair agus cultúr Bhréandroim.,claude-3-haiku-20240307
An Bréanros,Beidh an phóilíneacht ag faire ar an bpobal in An Bréanros le linn na féile.,claude-3-haiku-20240307
Breacaire Mór,Caitheann muintir Bhreacaire Mhóir a gcuid ama saor ag iascaireacht sa chuan.,claude-3-haiku-20240307
Bráid Pháirce,Gheobhaidh siad grianghraif áille de Bhráid Pháirce le linn a gcuairte.,claude-3-haiku-20240307
Branra,Beidh margadh ealaíne speisialta ar siúl i mBranra an mhí seo chugainn.,claude-3-haiku-20240307
Buíonach,Déanann na scoláirí staidéar ar stair Bhuíonach i rith na bliana.,claude-3-haiku-20240307
An Bhrocach,Maireann teaghlach mór sa Bhrocach le glúnta.,claude-3-haiku-20240307
An Bréanros Thuaidh,Tá daoine ag spaisteoireacht ar fud An Bréanros Thuaidh ar laethanta saoire.,claude-3-haiku-20240307
An Bréanros Theas,Bíonn damhsaí traidisiúnta ar siúl san Bréanros Theas le linn na Nollag.,claude-3-haiku-20240307
An Bhréadach,Tá daoine ó gach cearn ag freastal ar an bhféile chultúrtha in An Bhréadach.,claude-3-haiku-20240307
Both Mheathasa,Bíonn sé ag rince go Both Mheathasa ag céilithe.,claude-3-haiku-20240307
An Bhreacach Uachtarach,Cuirfear taispeántas ealaíne ar siúl in An Bhreacach Uachtarach an mhí seo.,claude-3-haiku-20240307
Barr Chnoc an Bhocaide,Rachfar go Barr Chnoc an Bhocaide chun staidéar a dhéanamh ar an bhflóra.,claude-3-haiku-20240307
Bun na Darach,Tá an ceol thraidisiúnta iontach i mBun na Darach.,claude-3-haiku-20240307
Briosc-chluanach,Beidh rásaí capall ar siúl i mBriosc-chluanach an mhí seo chugainn.,claude-3-haiku-20240307
Cuilleann,Roinneann muintir Chuilleann a gcuid traidisiún le cónaitheoirí an cheantair.,claude-3-haiku-20240307
Brónach,Bíonn an-spórt ar siúl i mBrónach le linn na Nollag.,claude-3-haiku-20240307
Bocóid,Caitheann siad saoire bheag gach bliain i mBocóid.,claude-3-haiku-20240307
Bun Duibhe,Tógfar ionad spóirt nua i mBun Duibhe an bhliain seo chugainn.,claude-3-haiku-20240307
Cadach,Tá cónaí ar mhuintir Chatha i gcroílár na cathrach.,claude-3-haiku-20240307
An Bhreacach Íochtarach,Bíonn na cónaitheoirí áitiúla ag siúl ar bhóithre An Bhreacaigh Íochtaraigh gach lá.,claude-3-haiku-20240307
An Buinne Mór Íochtarach,Caillfear an bealach isteach go dtí An Buinne Mór Íochtarach de bharr stoirmeacha.,claude-3-haiku-20240307
An Buinne Beag,Cuirtear taispeántais ealaíne ar siúl san Buinne Beag go rialta.,claude-3-haiku-20240307
Bun Coillín,Rachaimid go Bun Coillín don champa samhraidh.,claude-3-haiku-20240307
An Bun Riabhach,Caitheann daoine i mBaile an Dúna an-chuid ama ag siúl sna sléibhte máguaird.,claude-3-haiku-20240307
An Chealdrach,Oireann gnás traidisiúnta na tíre go maith le hAn Chealdrach.,claude-3-haiku-20240307
Camach,Tá an fhoireann peile ag oiliúint go dian i gCamach faoi láthair.,claude-3-haiku-20240307
Na Colbhaí,Fáiltítear roimh chuairteoirí go dtí Na Colbhaí le linn na Nollag.,claude-3-haiku-20240307
An Ceann Beag,Léirítear an stair agus an cultúr áitiúil go rímhaith in An Ceann Beag.,claude-3-haiku-20240307
Camdhoire,Bíonn an chuid is mó den phobal ag freastal ar an Séipéal Nua i gCamdhoire gach Domhnach.,claude-3-haiku-20240307
Collchoill,Chuaigh muintir Chollchoill chuig an mhargadh áitiúil gach Satharn.,claude-3-haiku-20240307
An Buinne Mór Uachtarach,Táimid chun gníomhaíochtaí oideachasúla a reáchtáil in An Buinne Mór Uachtarach i rith an tsamhraidh.,claude-3-haiku-20240307
An Camallt,Thaitin an siúlóid trí Chatha go mór le cách.,claude-3-haiku-20240307
An Ceann Caol,Cónaíonn go leor daoine ar Cheann Caol le fada an lá.,claude-3-haiku-20240307
Ceann na Bó,Déantar picnicí bliantúla sa cheantar iontach timpeall Cheann na Bó.,claude-3-haiku-20240307
Carn Tulach,Bíonn picnicí áille ar siúl i gCarn Tulach gach Samhradh.,claude-3-haiku-20240307
Carraig Uí Mhuraíl,Scríobhann na scoláirí aistí faoi stair Charraig Uí Mhuraíl.,claude-3-haiku-20240307
Carraig an Phoirt,Oireann an climat go maith do chónaitheoirí Charraig an Phoirt.,claude-3-haiku-20240307
Carraig an tSiáin,Beidh rás rothaíochta ag tarlú i gCarraig an tSiáin an chéad lá de mhí Mheán Fómhair.,claude-3-haiku-20240307
An Charraig,Ceiliúrann na daoine áitiúla oidhreacht na háite in An Charraig.,claude-3-haiku-20240307
Carraig an Bhóthair,Tógfar ionad ealaíne nua i gCarraig an Bhóthair an bhliain seo chugainn.,claude-3-haiku-20240307
Carraig an Urradh,Bíonn sé ag iascaireacht i gCarraig an Urradh ar laethanta saoire.,claude-3-haiku-20240307
Carraig Éimhigh,Tá traidisiún ceoil agus damhsa an-láidir i gCarraig Éimhigh.,claude-3-haiku-20240307
Carraig Chaonaigh,Thug na scoláirí cuairt ar Charraig Chaonaigh le déanaí chun an stair áitiúil a fhoghlaim.,claude-3-haiku-20240307
An Charraig Fhada,Tá oireachtas bliantúil na Gaeilge ar siúl in An Charraig Fhada anois.,claude-3-haiku-20240307
An Cheapach,Ceiliúrann muintir An Cheapach lá breithe an bháile gach Márta.,claude-3-haiku-20240307
An Corrán,Léiríonn slógaí na hócáide nua a tharlaíonn gach bliain i dTuaim an Chorrán díograis an phobail.,claude-3-haiku-20240307
Carraig Mhic Aogáin,Rachaidh mé ag siúlóid trí Charraig Mhic Aogáin amárach.,claude-3-haiku-20240307
Carraig Eochaille,Cuireann an coiste áitiúil imeachtaí spóirt ar siúl i gCarraig Eochaille gach samhradh.,claude-3-haiku-20240307
Carraig Liatroma,Beidh comórtas peile ar siúl i gCarraig Liatroma an deireadh seachtaine seo.,claude-3-haiku-20240307
Carraig Dhamháin,Bainfidh muid úsáid as acmhainní nádúrtha Carraig Dhamháin chun fuinneamh in-athnuaite a ghiniúint.,claude-3-haiku-20240307
Carraig na mBreac,Tá siad ag déanamh roinnt oibre chothabhála ar bhóthar Carraig na mBreac.,claude-3-haiku-20240307
An Charraig Bhán,Beidh mé ag dul go dtí An Charraig Bhán ar laethanta saoire an samhradh seo.,claude-3-haiku-20240307
Cora Droma Rúisc,Tá an ghníomhaireacht turasóireachta ag cur pacáistí saoire chun cinn do Chora Droma Rúisc.,claude-3-haiku-20240307
An Charraig Riabhach,Déanann na turasóirí a bpicnicí in An Charraig Riabhach le linn na samhraí.,claude-3-haiku-20240307
Carraig Álainn,Tá an chósta in Carraig Álainn an-álainn agus tarraingíonn sé cuairteoirí ó gach cearn.,claude-3-haiku-20240307
Carraig Mhuirígh,Tógfar ionad turasóireachta nua i gCarraig Mhuirígh an bhliain seo chugainn.,claude-3-haiku-20240307
An Carraigín,Ceanglaíonn bus an pobal le hAn Carraigín gach lá.,claude-3-haiku-20240307
Carraig an tSleamháin,Beidh ceol agus damhsa ar siúl i gCarraig an tSleamháin an samhradh seo.,claude-3-haiku-20240307
An Cheathrú Bhuí,Bainfidh muid taitneamh as an dea-chuma atá ar An Cheathrú Bhuí.,claude-3-haiku-20240307
An Cheathrú Chruinn,Cuirfear feabhas ar bhóithre agus sráideanna in An Cheathrú Chruinn sna blianta amach romhainn.,claude-3-haiku-20240307
An Cheathrú Dhubh,Tá an fhoireann peile ag traenáil ar Cheathrú Dhubh gach lá.,claude-3-haiku-20240307
An Carraigín Corr,Tá sé ar intinn ag an Údarás Áitiúil feabhsúcháin a dhéanamh ar An Carraigín Corr.,claude-3-haiku-20240307
An Cheathrú Láir,Bíonn an fhéile thraidisiúnta ar siúl in An Cheathrú Láir gach samhradh.,claude-3-haiku-20240307
An Cartún,Rachaidh mé go dtí An Cartún le mo chairde amárach.,claude-3-haiku-20240307
An Cheathrú Chaol,Rachaidh mé go dtí An Cheathrú Chaol ar saoire an bhliain seo chugainn.,claude-3-haiku-20240307
An Cartún Beag,Oireann timpeallacht chuimhneacháin An Cartún Beag go maith don fhéile bhliantúil.,claude-3-haiku-20240307
An Cheathrú Riabhach,Déanann na turasóirí staidéar ar stair agus seandálaíocht na Ceathrún Riabaí nuair a thagann siad chuig an áit.,claude-3-haiku-20240307
Cartún an Teampaill,Tá muid ag tabhairt cuairte ar Chartún an Teampaill an deireadh seachtaine seo.,claude-3-haiku-20240307
Cartha,Rachaidh muid go dtí an Chartha chun an siúlóid shléibhe a dhéanamh.,claude-3-haiku-20240307
An Cartún Giobach,Foilseofar leabhar nua faoi stair An Cartún Giobach i mbliana.,claude-3-haiku-20240307
Caiseal an Mhíle,Beimid ag siúl timpeall Chaiseal an Mhíle ar ár laethanta saoire.,claude-3-haiku-20240307
An Caiseal,Áirítear An Caiseal ar na príomh-atractions turasóireachta i gContae Thiobraid Árann.,claude-3-haiku-20240307
Caiseal Raige,Tá scoileanna iomráiteacha i gCaiseal Raige agus meallfaidh siad go leor mac léinn.,claude-3-haiku-20240307
Ceathrúin Úna,Rachaidh mé go dtí Ceathrúin Úna le mo theaghlach ar laethanta saoire.,claude-3-haiku-20240307
An Cabhán,Tá an t-ionad spóirt nua-aimseartha á thógáil in An Cabhán faoi láthair.,claude-3-haiku-20240307
Baile an Chaisleáin,Tá Baile an Chaisleáin ag éirí níos tófaraí mar áit chónaithe.,claude-3-haiku-20240307
Cotann,Beidh taispeántas ealaíne mór ar siúl i gCotann an mhí seo chugainn.,claude-3-haiku-20240307
Claonachadh,Cónaíonn muid i gClaonachadh ó thús ár saoil.,claude-3-haiku-20240307
Claon Deargáin,Beidh mé ag siúl trasna Chluan Deargáin ar mo bhealach abhaile anocht.,claude-3-haiku-20240307
Clárach Sionnaigh,Maireann an cultúr agus an traidisiún bríomhar i gClárach Sionnaigh fós.,claude-3-haiku-20240307
An Chloichreach,Dírítear ar chaomhnú an dúlra in An Chloichreach.,claude-3-haiku-20240307
An Cloigeann,Féachann an chuid is mó de na turasóirí ar Chloigeann Chathair an Chláir.,claude-3-haiku-20240307
Claon,Tá cáil ar Claon mar áit ghrá iontach.,claude-3-haiku-20240307
An Clochán,Bíonn an fhéile bhuana ar siúl in An Clochán gach Lá Fhéile Pádraig.,claude-3-haiku-20240307
Léim an Eachaí,Cuireann daoine a gcuid ama saor i Léim an Eachaí.,claude-3-haiku-20240307
An Clochar,Rachaidh mé chuig an Clochar ar ócáid speisialta.,claude-3-haiku-20240307
An Cloichreán,Casfar ceol agus rince traidisiúnta in An Cloichreán oíche Shamhna.,claude-3-haiku-20240307
An Cloichreán Mór,Cuirtear tábhacht mhór ar sheandachtaí cultúrtha agus staire in An Cloichreán Mór.,claude-3-haiku-20240307
An Chruadromainn Mhór,Tá sé beartaithe ag an údarás áitiúil páirceanna nua a fhorbairt ar An Chruadromainn Mhór.,claude-3-haiku-20240307
An Cloichreán Beag,Bíonn céilithe agus rincí ar siúl san Cloichreán Beag gach Satharn oíche.,claude-3-haiku-20240307
Clochlach,Rachaidh mé go Clochlach ar laethanta saoire.,claude-3-haiku-20240307
Cluanach,Cuireann muintir Chluanach fáilte mhór roimh chuairteoirí chuig an gceantar.,claude-3-haiku-20240307
An Chruadromainn Bheag,Tá sé ar intinn ag an údarás áitiúil bonneagar nua a fhorbairt in An Chruadromainn Bheag.,claude-3-haiku-20240307
An Chlúid Riabhach,Déanann turasóirí staidéar ar shaol na n-éan in An Chlúid Riabhach gach samhradh.,claude-3-haiku-20240307
An Chloch Mhín,Déanann mic léinn ó Ollscoil na hÉireann léachtaí faoi stair An Chloich Mhín.,claude-3-haiku-20240307
Cluanach Mhór,Tá sé beartaithe ceardlann ealaíne a reáchtáil i gCluanach Mhór an mhí seo chugainn.,claude-3-haiku-20240307
Cluain Bó,Tá na feirmeoirí ag díol a n-earraí sa mhargadh i gCluain Bó gach Satharn.,claude-3-haiku-20240307
Cluain Murgail,Beidh céilithe traidisiúnta ar siúl i gCluain Murgail ar feadh an tsamhraidh.,claude-3-haiku-20240307
Cluain Mhic Cuinn,Ceiliúrann muintir Chluain Mhic Cuinn a lá fhéile bliantúil le rince agus ceol.,claude-3-haiku-20240307
Cluain an Mhuilinn,Bíonn daoine ag rothaíocht timpeall Chluain an Mhuilinn go minic.,claude-3-haiku-20240307
Cluain Ceachar,Bíonn scoileanna samhraidh do pháistí ar siúl i gCluain Ceachar gach bliain.,claude-3-haiku-20240307
Cluain Chláir,Rachaidh mé go Cluain Chláir ar cuairt chuig mo chara an samhradh seo.,claude-3-haiku-20240307
Cluain Buíochair,Bíonn na rásaí capall ar siúl i gCluain Buíochair gach Lá Fhéile Pádraig.,claude-3-haiku-20240307
Cluain Bainneach Thuaidh,Caitheann siad laethanta saoire i gCluain Bainneach Thuaidh gach samhradh.,claude-3-haiku-20240307
Cluain Cairín,Casfar ar an gclub drámaíochta i gCluain Cairín an mhí seo.,claude-3-haiku-20240307
Cluain Cú,Tá oibreacha móra críochnaithe anois i gCluain Cú.,claude-3-haiku-20240307
Cluain Bainneach Theas,Bíonn na bóna ag fanacht le bus ar Chluain Bainneach Theas gach maidin.,claude-3-haiku-20240307
Cluain Comhraic,Cuireann na siopadóirí agus na ceardaithe áitiúla táirgí Cluain Comhraic chun cinn ag an aonach bliantúil.,claude-3-haiku-20240307
Cluain Fhéich,Tógadh halla pobail nua i gCluain Fhéich le déanaí.,claude-3-haiku-20240307
Cluain Cloimhe,Tá páirceanna iontacha le feiceáil i gCluain Cloimhe le linn an tsamhraidh.,claude-3-haiku-20240307
An Chluain,Rachaidh muid ar thurais cois farraige go dtí An Chluain i rith an tsamhraidh.,claude-3-haiku-20240307
Cluain Comair,Beidh ceol agus rince le cloisteáil i gCluain Comair ar Lá Fhéile Pádraig.,claude-3-haiku-20240307
Cluain Calraí,Beidh mórshiúl bríomhar ar siúl ar Chluain Calraí an tseachtain seo.,claude-3-haiku-20240307
Cluain Cuas,Eagraíonn an pobal imeachtaí cultúrtha go rialta i gCluain Cuas.,claude-3-haiku-20240307
Cluain Leamhchoille,Cuirfear tús le forbairt nua chónaithe i gCluain Leamhchoille an bhliain seo chugainn.,claude-3-haiku-20240307
An Cluainín,Sroicheann na turasóirí An Cluainín le bus gach lá.,claude-3-haiku-20240307
